has electricity,has radio,has television,has refrigerator,has bicycle,has motorcycle/scooter,has car/truck,number of rooms used for sleeping,line number of head of household,sex of head of household,age of head of household,has telephone (land-line),share toilet with other households,items present: soap or detergent,"items present: ash, mud, sand",items present: none,anything done to water to make safe to drink,water usually treated by: boil,water usually treated by: add bleach/chlorine,water usually treated by: strain through a cloth,water usually treated by: use water filter,water usually treated by: solar disinfection,water usually treated by: let it stand and settle,water usually treated by: other,water usually treated by: don't know,number of households sharing toilet,household has separate room used as kitchen,has mobile telephone,has watch,has animal-drawn cart,has boat with a motor,has a computer,"owns livestock, herds or farm animals"
yes,no,yes,yes,no,no,yes,4,1,male,76,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,,,yes,no,no,no,no,no
yes,yes,yes,yes,no,no,no,3,1,male,59,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,,no,yes,no,no,no,no,yes
yes,yes,yes,yes,no,no,no,4,1,female,62,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,,,yes,no,no,no,no,no
yes,yes,yes,yes,no,no,no,7,1,female,78,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,,no,yes,yes,no,no,no,yes
yes,no,yes,yes,no,no,no,3,1,female,47,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,,yes,yes,yes,no,no,no,no
yes,yes,yes,yes,no,no,yes,5,1,male,67,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,,,yes,yes,no,no,no,no
yes,yes,yes,yes,no,no,no,2,1,female,65,no,no,,,,no,no,no,no,no,no,no,no,no,,,yes,no,no,no,no,no
yes,yes,yes,no,no,no,no,2,1,female,23,no,no,no,no,yes: no cleansing agent observed,no,no,no,no,no,no,no,no,no,,no,yes,yes,no,no,no,no
no,yes,yes,no,no,no,no,2,1,male,30,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,10 or more households,no,yes,yes,no,no,no,no
no,no,no,no,yes,no,no,1,1,male,44,no,yes,,,,no,no,no,no,no,no,no,no,no,don't know,yes,yes,no,no,no,no,no
no,no,no,no,yes,no,no,1,1,male,74,no,no,,,,no,no,no,no,no,no,no,no,no,,yes,yes,no,no,no,no,yes
no,yes,no,no,no,no,no,1,1,male,22,no,yes,,,,no,no,no,no,no,no,no,no,no,10 or more households,,yes,no,no,no,no,no
no,no,no,no,no,no,no,1,1,female,64,no,no,,,,no,no,no,no,no,no,no,no,no,,no,yes,no,no,no,no,no
no,no,no,no,yes,no,no,1,1,male,51,no,yes,,,,no,no,no,no,no,no,no,no,no,don't know,no,yes,no,no,no,no,no
no,no,no,no,no,no,no,1,1,male,61,no,yes,,,,no,no,no,no,no,no,no,no,no,5,yes,yes,no,no,no,no,no
no,no,no,no,no,no,no,1,1,male,45,no,yes,,,,no,no,no,no,no,no,no,no,no,4,no,yes,no,no,no,no,no
no,no,no,no,no,no,no,1,1,male,57,no,yes,,,,no,no,no,no,no,no,no,no,no,4,no,no,no,no,no,no,no
no,no,no,no,no,no,no,1,1,male,45,no,yes,,,,no,no,no,no,no,no,no,no,no,don't know,no,yes,no,no,no,no,no
no,no,no,no,yes,no,no,1,1,male,57,no,yes,,,,no,no,no,no,no,no,no,no,no,3,no,no,no,no,no,no,yes
no,no,no,no,no,no,no,1,1,male,don't know,no,no,,,,no,no,no,no,no,no,no,no,no,,yes,no,no,no,no,no,no
no,no,no,no,no,no,no,1,1,female,68,no,yes,,,,no,no,no,no,no,no,no,no,no,2,no,no,no,no,no,no,no
no,no,no,no,no,no,no,1,1,female,81,no,yes,,,,no,no,no,no,no,no,no,no,no,2,yes,yes,no,no,no,no,no
no,no,no,no,no,no,no,1,1,male,45,no,,,,,no,no,no,no,no,no,no,no,no,,no,yes,no,no,no,no,no
no,no,no,no,no,no,no,1,1,male,50,no,yes,,,,don't know,don't know,don't know,don't know,don't know,don't know,don't know,don't know,don't know,10 or more households,,no,no,no,no,no,no
no,no,no,no,yes,no,no,1,1,male,26,no,yes,,,,no,no,no,no,no,no,no,no,no,10 or more households,no,no,no,no,no,no,no
no,no,no,no,no,no,no,1,1,male,66,no,yes,,,,no,no,no,no,no,no,no,no,no,don't know,yes,yes,no,no,no,no,no
no,no,no,no,no,no,no,1,1,female,34,no,,,,,no,no,no,no,no,no,no,no,no,,yes,yes,no,no,no,no,no
yes,yes,yes,yes,yes,no,no,2,1,male,50,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,,yes,yes,yes,no,no,no,no
yes,yes,yes,yes,yes,no,yes,4,1,male,68,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,,yes,yes,yes,yes,no,yes,yes
yes,yes,yes,yes,yes,no,yes,2,1,male,43,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,,no,yes,yes,no,no,no,no
yes,yes,yes,yes,no,no,yes,2,1,male,40,no,no,,,,no,no,no,no,no,no,no,no,no,,yes,yes,no,no,no,no,no
yes,no,yes,yes,yes,no,yes,1,1,male,68,no,no,yes,no,no,yes,yes,yes,no,no,no,no,no,no,,yes,yes,no,no,no,yes,no
no,no,no,no,no,no,no,2,1,male,21,no,no,no,no,yes: no cleansing agent observed,no,no,no,no,no,no,no,no,no,,yes,yes,no,no,no,no,no
yes,yes,yes,yes,no,no,no,3,1,male,38,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,,yes,yes,yes,no,no,no,no
yes,yes,yes,yes,no,no,no,3,1,female,40,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,,yes,yes,yes,no,no,no,yes
yes,yes,yes,yes,yes,no,no,4,1,male,73,no,no,no,no,yes: no cleansing agent observed,no,no,no,no,no,no,no,no,no,,,yes,yes,yes,no,no,yes
yes,yes,yes,yes,no,no,no,3,1,male,67,no,no,no,no,yes: no cleansing agent observed,no,no,no,no,no,no,no,no,no,,yes,yes,yes,no,no,yes,no
yes,yes,no,no,no,no,no,1,1,female,87,no,no,no,no,yes: no cleansing agent observed,no,no,no,no,no,no,no,no,no,,yes,yes,no,no,no,no,no
yes,yes,yes,yes,no,no,yes,3,1,female,24,no,no,,,,no,no,no,no,no,no,no,no,no,,yes,yes,yes,no,no,yes,no
yes,no,no,yes,no,no,no,3,1,male,68,no,no,no,no,yes: no cleansing agent observed,no,no,no,no,no,no,no,no,no,,yes,no,yes,no,no,no,no
yes,yes,yes,yes,yes,no,yes,3,1,male,41,no,no,no,no,yes: no cleansing agent observed,no,no,no,no,no,no,no,no,no,,yes,yes,no,no,no,no,no
yes,no,yes,yes,yes,no,no,3,1,male,44,no,no,no,no,yes: no cleansing agent observed,no,no,no,no,no,no,no,no,no,,yes,yes,yes,no,no,yes,no
yes,yes,yes,yes,no,no,no,2,1,female,60,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,,yes,yes,no,no,no,no,no
yes,yes,yes,yes,no,no,yes,1,1,male,75,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,,yes,yes,no,no,no,no,yes
yes,yes,no,yes,no,no,no,1,1,female,39,no,no,no,no,yes: no cleansing agent observed,no,no,no,no,no,no,no,no,no,,yes,yes,no,no,no,no,no
yes,no,yes,yes,no,no,no,4,1,female,44,no,no,no,no,yes: no cleansing agent observed,no,no,no,no,no,no,no,no,no,,,yes,no,no,no,no,yes
yes,yes,yes,yes,yes,no,no,2,1,female,24,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,,,yes,no,no,no,no,no
yes,yes,yes,yes,yes,no,yes,3,1,male,52,no,no,no,no,yes: no cleansing agent observed,no,no,no,no,no,no,no,no,no,,,yes,no,no,no,no,yes
yes,yes,yes,yes,no,no,no,3,1,female,43,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,,no,yes,no,no,no,no,yes
yes,no,no,yes,no,no,no,1,1,female,27,no,,no,no,yes: no cleansing agent observed,no,no,no,no,no,no,no,no,no,,no,yes,no,no,no,no,no
yes,no,yes,yes,no,no,no,1,1,male,43,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,,no,yes,yes,no,no,no,no
yes,no,no,yes,yes,no,no,2,1,female,80,no,no,no,no,yes: no cleansing agent observed,no,no,no,no,no,no,no,no,no,,,yes,no,no,no,no,no
yes,no,yes,yes,no,no,yes,4,1,female,55,no,no,no,no,yes: no cleansing agent observed,no,no,no,no,no,no,no,no,no,,,yes,no,no,no,no,yes
yes,yes,yes,yes,no,no,no,1,1,female,33,no,no,no,no,yes: no cleansing agent observed,no,no,no,no,no,no,no,no,no,,,yes,no,no,no,no,yes
yes,no,yes,no,no,no,no,1,1,male,22,no,,yes,no,no,no,no,no,no,no,no,no,no,no,,,yes,no,no,no,no,no
yes,yes,yes,yes,no,no,no,1,1,female,34,no,no,no,no,yes: no cleansing agent observed,no,no,no,no,no,no,no,no,no,,,yes,no,no,no,no,yes
yes,yes,yes,yes,yes,no,yes,3,1,female,49,no,no,no,no,yes: no cleansing agent observed,no,no,no,no,no,no,no,no,no,,,yes,no,no,no,no,yes
yes,yes,no,no,no,no,no,4,1,male,32,no,,yes,no,no,no,no,no,no,no,no,no,no,no,,,yes,no,no,no,no,no
yes,yes,yes,yes,no,no,no,2,1,female,48,no,,yes,no,no,no,no,no,no,no,no,no,no,no,,,yes,no,no,no,no,no
yes,no,yes,yes,no,no,no,2,1,female,23,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,,,yes,yes,no,no,no,no
yes,yes,no,yes,no,no,no,1,1,male,19,no,no,no,no,yes: no cleansing agent observed,no,no,no,no,no,no,no,no,no,,no,yes,yes,no,no,no,no
yes,yes,yes,yes,no,no,no,3,1,female,24,no,no,,,,no,no,no,no,no,no,no,no,no,,no,yes,yes,no,no,no,no
yes,yes,yes,yes,no,no,no,3,1,female,65,no,no,,,,no,no,no,no,no,no,no,no,no,,,yes,yes,no,no,no,no
no,no,yes,yes,no,no,no,4,1,female,51,no,no,no,no,yes: no cleansing agent observed,no,no,no,no,no,no,no,no,no,,,yes,no,no,no,no,no
yes,no,no,no,no,no,no,1,1,female,59,no,yes,no,no,yes: no cleansing agent observed,no,no,no,no,no,no,no,no,no,2,,no,no,no,no,no,no
yes,yes,yes,yes,no,no,no,3,1,female,36,no,no,,,,no,no,no,no,no,no,no,no,no,,no,yes,yes,no,no,no,no
yes,no,no,yes,no,no,no,1,1,female,40,no,no,no,no,yes: no cleansing agent observed,no,no,no,no,no,no,no,no,no,,,yes,no,no,no,no,no
yes,no,yes,no,no,no,no,3,1,female,56,no,no,no,no,yes: no cleansing agent observed,no,no,no,no,no,no,no,no,no,,,yes,no,no,no,no,no
yes,no,yes,yes,no,no,no,3,1,female,38,no,no,no,no,yes: no cleansing agent observed,no,no,no,no,no,no,no,no,no,,,yes,no,no,no,no,no
yes,no,yes,yes,no,no,no,3,1,male,61,no,no,no,no,yes: no cleansing agent observed,no,no,no,no,no,no,no,no,no,,,yes,yes,no,no,no,no
no,no,yes,yes,no,no,yes,2,1,male,45,no,no,no,no,yes: no cleansing agent observed,no,no,no,no,no,no,no,no,no,,,yes,no,no,no,no,yes
yes,no,yes,yes,no,no,no,3,1,female,20,no,no,no,no,yes: no cleansing agent observed,no,no,no,no,no,no,no,no,no,,yes,yes,no,no,no,no,no
yes,yes,yes,yes,no,no,no,3,1,male,49,no,no,no,no,yes: no cleansing agent observed,no,no,no,no,no,no,no,no,no,,yes,yes,yes,no,no,no,yes
yes,yes,no,yes,no,no,no,2,1,female,55,no,no,no,no,yes: no cleansing agent observed,no,no,no,no,no,no,no,no,no,,yes,yes,no,no,no,no,no
yes,no,no,yes,no,no,no,4,1,female,51,no,no,no,no,yes: no cleansing agent observed,no,no,no,no,no,no,no,no,no,,yes,yes,no,no,no,no,no
yes,yes,no,yes,no,no,no,1,1,male,28,no,no,,,,no,no,no,no,no,no,no,no,no,,no,yes,yes,no,no,no,no
yes,no,yes,yes,no,no,no,2,1,male,16,no,no,no,no,yes: no cleansing agent observed,no,no,no,no,no,no,no,no,no,,yes,yes,no,no,no,no,no
yes,yes,yes,yes,no,no,no,1,1,male,37,no,no,,,,no,no,no,no,no,no,no,no,no,,no,yes,no,no,no,no,no
yes,yes,yes,yes,yes,no,yes,4,1,female,47,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,,yes,yes,yes,no,no,no,no
yes,no,no,yes,no,no,yes,1,1,male,39,no,yes,,,,no,no,no,no,no,no,no,no,no,2,no,yes,no,no,no,no,no
yes,yes,yes,yes,no,no,no,2,1,male,53,no,yes,,,,no,no,no,no,no,no,no,no,no,2,yes,yes,no,no,no,no,no
yes,yes,no,no,no,no,no,2,1,female,53,no,no,,,,no,no,no,no,no,no,no,no,no,,no,yes,no,no,no,yes,no
yes,no,yes,yes,no,no,no,2,1,male,63,no,no,,,,no,no,no,no,no,no,no,no,no,,yes,yes,yes,no,no,no,no
yes,no,yes,yes,no,no,no,2,1,male,34,no,no,no,no,yes: no cleansing agent observed,no,no,no,no,no,no,no,no,no,,yes,yes,no,no,no,no,no
yes,yes,yes,yes,no,no,yes,2,1,male,55,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,,no,yes,no,no,no,no,no
yes,yes,yes,yes,no,no,no,2,1,male,45,no,no,,,,no,no,no,no,no,no,no,no,no,,yes,yes,yes,no,no,no,no
yes,yes,yes,yes,no,no,no,1,1,male,33,no,no,no,no,yes: no cleansing agent observed,no,no,no,no,no,no,no,no,no,,yes,yes,no,no,no,no,no
yes,no,yes,no,no,no,no,1,1,female,37,no,yes,,,,no,no,no,no,no,no,no,no,no,10 or more households,no,yes,no,no,no,no,no
yes,yes,yes,yes,no,no,yes,2,1,male,71,no,no,no,no,yes: no cleansing agent observed,no,no,no,no,no,no,no,no,no,,yes,yes,no,no,no,no,no
yes,yes,yes,yes,no,no,yes,1,1,male,30,no,yes,,,,no,no,no,no,no,no,no,no,no,2,no,yes,yes,no,no,yes,no
yes,yes,yes,yes,no,no,no,1,1,male,36,no,yes,no,no,yes: no cleansing agent observed,no,no,no,no,no,no,no,no,no,2,yes,yes,no,no,no,no,no
yes,yes,yes,yes,no,no,yes,2,1,male,58,no,yes,no,no,yes: no cleansing agent observed,no,no,no,no,no,no,no,no,no,2,yes,yes,yes,no,no,yes,no
yes,no,yes,yes,no,no,yes,2,1,female,39,no,no,yes,no,no,yes,yes,no,no,no,no,no,no,no,,yes,yes,yes,no,no,yes,no
yes,yes,yes,yes,no,no,yes,4,1,male,67,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,,yes,yes,no,no,no,yes,no
yes,no,yes,yes,no,no,yes,2,1,female,41,no,no,yes,no,no,yes,no,no,no,no,no,no,yes,no,,yes,yes,no,no,no,yes,no
yes,yes,yes,yes,no,no,no,1,1,female,55,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,,yes,yes,yes,no,no,yes,no
yes,yes,yes,yes,no,no,yes,3,1,male,74,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,,yes,yes,yes,no,no,yes,no
yes,yes,yes,yes,no,no,no,4,1,female,69,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,,yes,yes,yes,no,no,no,no
yes,yes,no,no,no,no,no,2,1,male,69,no,no,no,no,yes: no cleansing agent observed,no,no,no,no,no,no,no,no,no,,yes,no,no,no,no,no,no
yes,yes,yes,yes,no,no,yes,3,1,female,52,no,no,yes,no,no,yes,yes,no,no,no,no,no,no,no,,yes,yes,yes,no,no,yes,no
yes,yes,yes,yes,no,no,yes,2,1,female,30,no,no,no,no,yes: no cleansing agent observed,yes,yes,no,no,no,no,no,no,no,,yes,yes,yes,no,no,no,no
yes,yes,yes,yes,no,no,yes,2,1,female,71,no,no,yes,no,no,yes,yes,no,no,no,no,no,no,no,,yes,yes,yes,no,no,no,no
yes,yes,yes,yes,no,no,no,2,1,female,66,no,no,no,no,yes: no cleansing agent observed,no,no,no,no,no,no,no,no,no,,yes,yes,yes,no,no,no,no
yes,yes,yes,yes,no,no,no,2,1,male,47,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,,yes,yes,no,no,no,no,yes
yes,yes,yes,yes,no,no,no,3,1,female,40,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,,yes,yes,yes,no,no,yes,no
yes,no,yes,yes,no,no,no,2,1,female,56,no,no,no,no,yes: no cleansing agent observed,no,no,no,no,no,no,no,no,no,,yes,yes,yes,no,no,no,no
yes,no,yes,yes,no,no,yes,2,1,female,47,no,no,no,no,yes: no cleansing agent observed,no,no,no,no,no,no,no,no,no,,yes,yes,no,no,no,yes,no
yes,yes,yes,yes,no,no,no,1,1,male,39,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,,yes,yes,no,no,no,no,no
yes,yes,yes,yes,no,no,no,2,1,female,86,no,no,yes,no,no,yes,yes,no,no,no,no,no,no,no,,yes,yes,yes,no,no,no,no
yes,yes,yes,yes,no,no,no,2,1,female,66,no,no,no,no,yes: no cleansing agent observed,no,no,no,no,no,no,no,no,no,,yes,yes,yes,no,no,no,no
yes,yes,yes,yes,no,no,no,2,1,male,38,no,no,no,no,yes: no cleansing agent observed,no,no,no,no,no,no,no,no,no,,yes,yes,no,no,no,no,no
yes,yes,yes,yes,no,no,no,3,1,female,25,no,no,no,no,yes: no cleansing agent observed,no,no,no,no,no,no,no,no,no,,no,yes,yes,no,no,no,no
yes,no,yes,yes,no,no,no,6,1,female,64,no,no,no,no,yes: no cleansing agent observed,no,no,no,no,no,no,no,no,no,,yes,yes,no,no,no,no,no
yes,yes,yes,yes,no,no,yes,1,1,male,26,no,no,no,no,yes: no cleansing agent observed,yes,no,yes,no,no,no,no,no,no,,yes,yes,no,no,no,yes,no
yes,yes,yes,yes,no,no,no,1,1,male,36,no,yes,no,no,yes: no cleansing agent observed,no,no,no,no,no,no,no,no,no,2,no,yes,no,no,no,no,no
yes,yes,no,yes,no,no,no,1,1,male,43,no,yes,no,no,yes: no cleansing agent observed,no,no,no,no,no,no,no,no,no,2,yes,yes,no,no,no,no,no
yes,yes,yes,yes,no,no,no,4,1,female,79,no,no,,,,no,no,no,no,no,no,no,no,no,,no,yes,no,no,no,no,no
yes,yes,yes,yes,no,no,yes,3,1,female,59,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,,yes,yes,yes,no,no,no,no
yes,no,yes,yes,yes,no,no,4,1,female,80,no,no,no,no,yes: no cleansing agent observed,no,no,no,no,no,no,no,no,no,,yes,yes,yes,no,no,no,yes
yes,yes,yes,yes,no,no,no,1,1,male,49,no,no,no,no,yes: no cleansing agent observed,no,no,no,no,no,no,no,no,no,,no,yes,no,no,no,yes,no
yes,yes,yes,yes,no,no,no,4,1,female,76,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,,,yes,yes,no,no,no,yes
yes,yes,no,yes,no,no,no,3,1,female,51,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,,yes,yes,no,no,no,no,no
yes,yes,yes,no,no,no,no,1,1,male,26,no,yes,,,,no,no,no,no,no,no,no,no,no,4,no,yes,no,no,no,no,no
yes,yes,yes,yes,no,no,yes,4,1,male,63,no,no,no,no,yes: no cleansing agent observed,no,no,no,no,no,no,no,no,no,,yes,yes,no,no,no,no,no
yes,yes,yes,yes,no,no,no,4,1,male,54,no,no,,,,no,no,no,no,no,no,no,no,no,,no,yes,no,no,no,no,yes
yes,yes,yes,yes,no,no,no,3,1,female,46,no,no,no,no,yes: no cleansing agent observed,yes,yes,no,no,no,no,no,no,no,,yes,yes,yes,no,no,no,no
yes,yes,yes,yes,no,no,no,2,1,female,41,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,2,no,yes,no,no,no,no,no
yes,yes,yes,yes,no,no,no,2,1,female,32,no,no,no,no,yes: no cleansing agent observed,no,no,no,no,no,no,no,no,no,,yes,yes,no,no,no,no,no
yes,yes,yes,yes,no,no,no,3,1,female,64,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,,no,yes,yes,no,no,no,no
yes,yes,yes,yes,no,no,no,1,1,male,56,no,yes,,,,no,no,no,no,no,no,no,no,no,2,no,no,no,no,no,no,no
yes,yes,yes,yes,no,no,no,2,1,male,50,no,no,no,no,yes: no cleansing agent observed,yes,yes,no,no,no,no,no,no,no,,yes,yes,yes,no,no,no,no
yes,no,yes,no,no,no,no,2,1,female,48,no,yes,,,,no,no,no,no,no,no,no,no,no,2,yes,yes,no,no,no,no,yes
yes,yes,yes,yes,no,no,no,2,1,male,72,no,no,no,no,yes: no cleansing agent observed,no,no,no,no,no,no,no,no,no,,,yes,yes,no,no,no,no
no,no,no,no,no,no,no,1,1,female,26,no,,,,,no,no,no,no,no,no,no,no,no,,,yes,yes,no,no,no,no
yes,yes,yes,yes,no,no,yes,2,1,female,36,no,no,no,no,yes: no cleansing agent observed,no,no,no,no,no,no,no,no,no,,yes,yes,yes,no,no,no,no
no,no,no,no,no,no,no,1,1,female,65,no,yes,,,,no,no,no,no,no,no,no,no,no,2,,no,no,no,no,no,no
yes,no,no,yes,no,no,no,1,1,male,44,no,no,no,no,yes: no cleansing agent observed,no,no,no,no,no,no,no,no,no,,yes,yes,no,no,no,no,no
yes,no,yes,yes,no,no,no,1,1,male,40,no,no,,,,no,no,no,no,no,no,no,no,no,,yes,yes,yes,no,no,no,no
yes,yes,yes,yes,no,no,yes,4,1,male,44,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,,yes,yes,yes,no,no,no,no
yes,no,yes,no,yes,no,no,1,1,female,25,no,no,no,no,yes: no cleansing agent observed,no,no,no,no,no,no,no,no,no,,yes,yes,no,no,no,no,no
yes,no,no,no,no,no,no,1,1,female,55,no,yes,,,,no,no,no,no,no,no,no,no,no,2,no,yes,no,no,no,no,no
yes,yes,yes,yes,no,no,yes,1,1,male,48,no,no,no,no,yes: no cleansing agent observed,no,no,no,no,no,no,no,no,no,,yes,no,yes,no,no,no,no
yes,yes,yes,yes,no,no,yes,4,1,male,63,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,,yes,yes,yes,no,no,no,yes
no,yes,yes,no,no,no,no,2,1,male,65,no,,no,no,yes: no cleansing agent observed,no,no,no,no,no,no,no,no,no,,,no,no,no,no,no,no
yes,yes,yes,yes,no,no,no,3,1,female,62,no,no,no,no,yes: no cleansing agent observed,no,no,no,no,no,no,no,no,no,,yes,yes,yes,no,no,no,no
no,no,no,no,no,no,no,2,1,male,26,no,,no,no,yes: no cleansing agent observed,no,no,no,no,no,no,no,no,no,,,yes,no,no,no,no,no
yes,no,no,yes,no,no,no,2,1,male,27,no,no,,,,no,no,no,no,no,no,no,no,no,,no,yes,no,no,no,no,no
yes,no,no,yes,no,no,no,2,1,female,89,no,,no,no,yes: no cleansing agent observed,yes,yes,no,no,no,no,no,no,no,,,yes,no,no,no,no,no
yes,no,yes,yes,no,no,no,3,1,male,44,no,no,no,no,yes: no cleansing agent observed,no,no,no,no,no,no,no,no,no,,,yes,no,no,no,no,no
yes,no,yes,yes,no,no,no,3,1,female,40,no,no,,,,no,no,no,no,no,no,no,no,no,,no,yes,no,no,no,no,no
yes,yes,yes,yes,no,no,no,2,1,female,39,no,no,no,no,yes: no cleansing agent observed,yes,yes,no,no,no,no,no,no,no,,yes,yes,yes,no,no,no,no
yes,yes,yes,yes,no,no,no,3,1,female,51,no,no,no,no,yes: no cleansing agent observed,no,no,no,no,no,no,no,no,no,,,yes,no,no,no,no,yes
yes,no,yes,yes,no,no,no,4,1,female,69,no,yes,no,no,yes: no cleansing agent observed,no,no,no,no,no,no,no,no,no,2,,no,no,no,no,no,no
yes,no,yes,yes,no,no,yes,4,1,male,62,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,,no,yes,yes,no,no,no,no
yes,no,yes,no,no,no,no,2,1,female,58,no,no,no,no,yes: no cleansing agent observed,no,no,no,no,no,no,no,no,no,,,yes,no,no,no,no,no
yes,yes,yes,yes,no,no,no,3,1,female,54,no,no,no,no,yes: no cleansing agent observed,no,no,no,no,no,no,no,no,no,,,yes,yes,no,no,no,no
yes,yes,yes,yes,no,no,no,4,1,female,49,no,no,yes,no,no,yes,no,yes,no,no,no,no,no,no,,,yes,no,no,no,no,no
yes,yes,no,yes,no,no,no,4,1,male,67,no,no,no,no,yes: no cleansing agent observed,no,no,no,no,no,no,no,no,no,,,yes,yes,no,no,no,yes
yes,no,yes,yes,no,no,no,2,1,female,40,no,no,no,no,yes: no cleansing agent observed,no,no,no,no,no,no,no,no,no,,,yes,no,no,no,no,no
yes,no,no,no,no,no,no,1,1,female,37,no,no,no,no,yes: no cleansing agent observed,no,no,no,no,no,no,no,no,no,,,yes,no,no,no,no,no
yes,yes,no,yes,no,no,no,2,1,female,77,no,no,no,no,yes: no cleansing agent observed,no,no,no,no,no,no,no,no,no,,,no,no,no,no,no,no
yes,no,yes,yes,no,no,no,3,1,female,49,no,no,no,no,yes: no cleansing agent observed,no,no,no,no,no,no,no,no,no,,,no,no,no,no,no,yes
yes,no,yes,yes,no,no,no,2,1,female,78,no,no,no,no,yes: no cleansing agent observed,no,no,no,no,no,no,no,no,no,,,yes,yes,no,no,no,yes
yes,no,no,yes,no,no,no,3,1,male,45,no,,no,no,yes: no cleansing agent observed,no,no,no,no,no,no,no,no,no,,,yes,no,no,no,no,yes
yes,yes,yes,yes,no,no,no,1,1,female,43,no,no,no,no,yes: no cleansing agent observed,yes,no,yes,no,no,no,no,no,no,,,yes,yes,no,no,no,no
yes,no,yes,yes,no,no,no,2,1,male,66,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,,,yes,yes,no,no,no,yes
yes,yes,yes,yes,no,no,no,1,1,female,52,no,no,no,no,yes: no cleansing agent observed,no,no,no,no,no,no,no,no,no,,no,yes,yes,no,no,no,no
yes,yes,yes,yes,yes,no,yes,3,1,male,35,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,,no,yes,yes,no,no,yes,no
yes,yes,yes,yes,no,no,yes,3,1,male,49,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,,no,yes,yes,no,no,yes,no
yes,yes,yes,yes,no,no,yes,3,1,male,73,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,,no,yes,yes,no,no,yes,no
yes,no,yes,yes,no,no,yes,3,1,male,62,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,,no,yes,yes,no,yes,yes,no
yes,yes,yes,no,no,no,no,2,1,female,77,no,no,,,,no,no,no,no,no,no,no,no,no,,yes,no,yes,no,no,yes,no
yes,no,yes,yes,no,no,no,2,1,female,41,no,no,no,no,yes: no cleansing agent observed,no,no,no,no,no,no,no,no,no,,no,yes,no,no,no,no,no
yes,yes,yes,yes,no,no,no,3,1,female,95,no,no,no,no,yes: no cleansing agent observed,no,no,no,no,no,no,no,no,no,,yes,yes,no,no,no,no,no
yes,no,yes,no,no,no,no,2,1,female,91,no,no,no,no,yes: no cleansing agent observed,no,no,no,no,no,no,no,no,no,,,yes,no,no,no,no,no
yes,yes,yes,yes,yes,yes,no,3,1,male,76,no,no,no,no,yes: no cleansing agent observed,no,no,no,no,no,no,no,no,no,,yes,yes,yes,yes,no,no,yes
yes,yes,yes,yes,no,no,no,3,1,female,58,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,,no,yes,no,no,no,no,no
yes,yes,yes,yes,no,no,yes,5,1,male,49,no,no,no,no,yes: no cleansing agent observed,no,no,no,no,no,no,no,no,no,,no,yes,no,no,no,no,no
yes,no,yes,yes,no,no,no,2,1,female,47,no,no,no,no,yes: no cleansing agent observed,no,no,no,no,no,no,no,no,no,,,yes,yes,no,no,no,yes
yes,no,yes,no,no,no,no,1,1,male,42,no,no,no,no,yes: no cleansing agent observed,no,no,no,no,no,no,no,no,no,,yes,yes,no,no,no,no,no
yes,yes,yes,yes,no,no,no,3,1,male,77,no,no,no,no,yes: no cleansing agent observed,no,no,no,no,no,no,no,no,no,,,yes,no,no,no,no,no
